series_id,date,sales_qty,price
Downtown,2024-01-01,895,7.693548387096774
Downtown,2024-02-01,878,7.775862068965517
Downtown,2024-03-01,962,7.693548387096774
Downtown,2024-04-01,842,7.733333333333333
Downtown,2024-05-01,953,7.951612903225806
Downtown,2024-06-01,897,7.733333333333333
Downtown,2024-07-01,821,7.554838709677419
Downtown,2024-08-01,684,7.7333333333333325
Midtown,2024-01-01,651,7.554838709677419
Midtown,2024-02-01,627,7.924137931034482
Midtown,2024-03-01,719,7.554838709677419
Midtown,2024-04-01,643,7.733333333333333
Midtown,2024-05-01,692,7.693548387096774
Midtown,2024-06-01,610,7.733333333333333
Midtown,2024-07-01,608,7.951612903225806
Midtown,2024-08-01,479,7.7333333333333325
